Using the standard Ruby profiler.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.30    18.90      0.08      201     0.40     0.70  FriendlyId::ActiveRecordAdapter::SimpleModel.skip_friendly_id_validations
  0.30    18.98      0.08     3628     0.02     0.05  ActiveRecord::Base#columns_hash
  0.30    19.06      0.08      135     0.59     6.89  SQLite3::Statement#each
  0.30    19.14      0.08     3117     0.03     0.03  Array#empty?
  0.30    19.22      0.08      516     0.16     0.21  ActiveRecord::LogSubscriber#logger
  0.30    19.30      0.08      225     0.36     3.07  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.27    19.37      0.07       67     1.04     1.04  ActiveRecord::AutosaveAssociation.validate_collection_association
  0.27    19.44      0.07     1206     0.06     0.11  ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#match
  0.27    19.51      0.07      276     0.25     0.25  SQLite3::Statement#column_decltype
  0.27    19.58      0.07      109     0.64     2.48  ActiveRecord::Calculations.aggregate_column
  0.27    19.65      0.07      122     0.57     0.57  SQLite3::Statement#column_count
  0.27    19.72      0.07      129     0.54     0.54  ActiveSupport::BufferedLogger#clear_buffer
  0.27    19.79      0.07      316     0.22     0.28  ActiveSupport::Callbacks::Callback#start
  0.27    19.86      0.07       55     1.27     4.91  I18n::Backend::Base.resolve
  0.27    19.93      0.07      252     0.28     0.48  Arel::Visitors.visitor_for
  0.27    20.00      0.07      729     0.10     0.19  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.27    20.07      0.07       60     1.17     7.50  ActiveSupport::Callbacks::Callback#initialize
  0.27    20.14      0.07      625     0.11     0.34  ActiveRecord::Relation#initialize_copy
  0.27    20.21      0.07      252     0.28     0.28  Arel::Nodes::SelectCore#initialize
  0.27    20.28      0.07      367     0.19     0.19  #<YAML::Syck::Resolver:0xb7456c3c>.node_import
  0.27    20.35      0.07      143     0.49     4.69  ActiveRecord::Base#relation
  0.27    20.42      0.07       19     3.68     6.84  ActiveSupport::Dependencies.search_for_file
  0.27    20.49      0.07       71     0.99     2.11  ActiveSupport::Dependencies.qualified_const_defined?
  0.27    20.56      0.07      109     0.64     6.88  ActiveRecord::SpawnMethods.except
  0.27    20.63      0.07      140     0.50     4.79  Authlogic::ActsAsAuthentic::Password::Config.crypted_password_field
  0.27    20.70      0.07      396     0.18     0.53  ActiveRecord::AttributeMethods::ClassMethods.instance_method_already_implemented?
  0.27    20.77      0.07      134     0.52     2.39  ActiveModel::Validations::FormatValidator#validate_each
  0.27    20.84      0.07      129     0.54     3.88  ActiveSupport::BufferedLogger#auto_flush
  0.27    20.91      0.07      143     0.49     0.56  Array#reject
  0.27    20.98      0.07      260     0.27     0.27  ActiveSupport::Callbacks::Callback#matches?
  0.27    21.05      0.07       64     1.09     5.16  ActiveSupport::Callbacks::CallbackChain#compile
  0.27    21.12      0.07      467     0.15     0.15  Array#concat
  0.23    21.18      0.06       89     0.67     0.67  ActiveRecord::ConnectionAdapters::Column#extract_precision
  0.23    21.24      0.06      436     0.14     0.14  Kernel.kind_of?
  0.23    21.30      0.06      143     0.42     0.42  ActiveRecord::Base#finder_needs_type_condition?
  0.23    21.36      0.06      416     0.14     0.14  Module#module_eval
  0.23    21.42      0.06      129     0.47     8.22  ActiveRecord::LogSubscriber#sql
  0.23    21.48      0.06      283     0.21     0.28  ActiveRecord::Persistence.persisted?
  0.23    21.54      0.06      124     0.48     2.82  Arel::SelectManager#join_sql
  0.23    21.60      0.06       60     1.00     2.33  ActiveSupport::Callbacks::Callback#_compile_per_key_options
  0.23    21.66      0.06       13     4.62     4.62  Module#parents
  0.23    21.72      0.06       63     0.95     0.95  ActiveSupport::Dependencies.log_call
  0.23    21.78      0.06    10744     0.01     0.01  Hash#key?
  0.23    21.84      0.06      612     0.10     0.10  String#initialize
  0.23    21.90      0.06      397     0.15     0.15  Float#*
  0.23    21.96      0.06      359     0.17     0.31  Arel.sql
  0.23    22.02      0.06     1185     0.05     0.07  Set#include?
  0.23    22.08      0.06      339     0.18     0.74  ActiveRecord::ConnectionAdapters::Column#value_to_boolean
  0.23    22.14      0.06     1209     0.05     0.05  Regexp#match
  0.23    22.20      0.06      199     0.30     0.30  File#join
  0.23    22.26      0.06       70     0.86     0.86  URI::Generic#set_userinfo
  0.23    22.32      0.06      229     0.26     1.18  Enumerable.inject
  0.23    22.38      0.06       67     0.90     0.90  Authlogic::Session::Activation::ClassMethods.controller
  0.23    22.44      0.06       67     0.90     1.19  FriendlyId::Configuration#reserved_error_message
  0.23    22.50      0.06      129     0.47     0.70  ActiveSupport::Notifications::Event#initialize
  0.23    22.56      0.06     1359     0.04     0.04  Array#join
  0.19    22.61      0.05       68     0.74     5.59  ActiveRecord::Associations::AssociationProxy#initialize
  0.19    22.66      0.05      134     0.37    51.87  ActiveRecord::AttributeMethods.respond_to?
  0.19    22.71      0.05      204     0.25     2.11  ActiveRecord::Reflection::AssociationReflection#klass
  0.19    22.76      0.05      308     0.16     0.16  User#primary_key
  0.19    22.81      0.05      122     0.41     2.30  SQLite3::Statement#get_metadata
  0.19    22.86      0.05       67     0.75     1.19  Authlogic::ActsAsAuthentic::PersistenceToken::Methods::InstanceMethods.reset_persistence_token?
  0.19    22.91      0.05       67     0.75     1.49  ActiveRecord::Reflection::MacroReflection#sanitized_conditions
  0.19    22.96      0.05      252     0.20     2.46  ActiveRecord::ConnectionAdapters::ConnectionPool#with_connection
  0.19    23.01      0.05       87     0.57     0.57  ActiveRecord::Base#time_zone_aware_attributes
  0.19    23.06      0.05       26     1.92    24.62  ActiveModel::Validations::ClassMethods.validate
  0.19    23.11      0.05      120     0.42     1.00  ActiveSupport::Callbacks::Callback#_compile_options
  0.19    23.16      0.05       43     1.16     4.19  ActiveRecord::AttributeMethods::TimeZoneConversion::ClassMethods.define_method_attribute
  0.19    23.21      0.05      128     0.39     0.47  Arel::Visitors::ToSql#visit_Arel_Table
  0.19    23.26      0.05       67     0.75     3.43  User#_callback_before_263
  0.19    23.31      0.05       15     3.33     6.00  ActiveRecord::Associations::ThroughAssociationScope.construct_joins
  0.19    23.36      0.05      434     0.12     0.12  ActiveRecord::Associations::AssociationProxy#loaded?
  0.15    23.40      0.04      378     0.11     0.21  Hash#except!
  0.15    23.44      0.04      109     0.37    60.83  ActiveRecord::Associations::HasManyAssociation#count_records
  0.15    23.48      0.04      268     0.15     0.15  Time#time_with_datetime_fallback
  0.15    23.52      0.04      477     0.08     1.03  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.15    23.56      0.04      134     0.30     0.60  ActiveModel::Errors#each
  0.15    23.60      0.04      743     0.05     0.15  Kernel.read_attribute_for_validation
  0.15    23.64      0.04      267     0.15     0.15  Arel::SelectManager#from
  0.15    23.68      0.04      538     0.07     0.09  #<Module:0xb631359c>.username
  0.15    23.72      0.04     2677     0.01     0.01  Regexp#===
  0.11    23.75      0.03      148     0.20     0.20  ActiveRecord::Associations::AssociationCollection#proxy_respond_to?
  0.11    23.78      0.03      128     0.23     2.58  Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore
  0.11    23.81      0.03      201     0.15     2.19  ActiveModel::Validations::LengthValidator#validate_each
  0.11    23.84      0.03      516     0.06     0.39  ActiveSupport::BufferedLogger#buffer
  0.11    23.87      0.03     1785     0.02     0.02  Hash#has_key?
  0.11    23.90      0.03      252     0.12     0.60  Arel::TreeManager#initialize
  0.11    23.93      0.03      283     0.11     0.42  ActiveRecord::Associations.association_instance_get
  0.11    23.96      0.03      201     0.15     4.63  User#rpx_identifiers
  0.11    23.99      0.03      702     0.04     0.04  ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#method_name
  0.11    24.02      0.03      519     0.06     0.06  ActiveRecord::Base#logger
  0.11    24.05      0.03     1092     0.03     0.05  Kernel.dup
  0.11    24.08      0.03      109     0.28    51.47  ActiveRecord::Calculations.perform_calculation
  0.11    24.11      0.03      423     0.07     0.21  Array#wrap
  0.11    24.14      0.03      378     0.08     0.37  Hash#except
  0.11    24.17      0.03      625     0.05     0.38  Kernel.clone
  0.11    24.20      0.03      218     0.14    55.69  ActiveRecord::Calculations.calculate
  0.11    24.23      0.03      252     0.12     0.12  String#gsub
  0.11    24.26      0.03      116     0.26     0.34  I18n.config
  0.11    24.29      0.03       68     0.44    18.53  ActiveRecord::Associations::AssociationCollection#initialize
  0.08    24.31      0.02      453     0.04     0.09  Enumerable.any?
  0.08    24.33      0.02      129     0.16    10.08  ActiveSupport::Notifications::Fanout#publish
  0.08    24.35      0.02      134     0.15     0.30  ActiveSupport::OrderedHash#each_key
  0.08    24.37      0.02      910     0.02     0.02  Hash#delete
  0.08    24.39      0.02      855     0.02     0.02  Array#last
  0.08    24.41      0.02      252     0.08     0.08  Arel::Nodes::SelectStatement#initialize
  0.08    24.43      0.02      252     0.08     3.41  Arel::Visitors::ToSql#accept
  0.08    24.45      0.02      201     0.10     0.10  Fixnum#<=
  0.08    24.47      0.02      300     0.07     0.07  Array#zip
  0.08    24.49      0.02      129     0.16     0.16  ActiveRecord::LogSubscriber#odd?
  0.08    24.51      0.02      824     0.02     0.02  Array#flatten
  0.08    24.53      0.02     1784     0.01     0.01  Kernel.instance_variable_set
  0.08    24.55      0.02      134     0.15    52.01  ActiveRecord::Callbacks.deprecated_callback_method
  0.08    24.57      0.02     2248     0.01     0.01  String#sub
  0.08    24.59      0.02      138     0.14     0.14  #<Module:0xb631359c>.crypted_password
  0.08    24.61      0.02      152     0.13     0.13  Hash#assert_valid_keys
  0.08    24.63      0.02      145     0.14     0.41  ActiveRecord::Base#sanitize_sql
  0.08    24.65      0.02      727     0.03     0.03  String#empty?
  0.08    24.67      0.02       64     0.31     1.72  Array#reverse_each
  0.08    24.69      0.02      129     0.16     0.16  ActiveRecord::LogSubscriber#runtime
  0.08    24.71      0.02      129     0.16     8.99  SQLite3::Database#execute
  0.08    24.73      0.02      225     0.09     3.16  ActiveRecord::Base#connection
  0.08    24.75      0.02      251     0.08     0.08  Arel::Nodes::Grouping#initialize
  0.08    24.77      0.02      316     0.06     0.28  ActiveSupport::Callbacks::Callback#end
  0.08    24.79      0.02      109     0.18     0.18  ActiveRecord::Calculations.type_cast_calculated_value
  0.08    24.81      0.02      134     0.15     2.46  Authlogic::ActsAsAuthentic::SessionMaintenance::Config.session_class
  0.08    24.83      0.02      455     0.04     0.64  Module#const_get
  0.08    24.85      0.02      283     0.07     0.07  ActiveRecord::Persistence.destroyed?
  0.08    24.87      0.02      201     0.10    43.33  AuthlogicRpx::ActsAsAuthentic::Methods.validate_password_with_rpx?
  0.08    24.89      0.02      138     0.14     0.22  #<Module:0xb631359c>.email
  0.08    24.91      0.02      167     0.12     0.12  I18n.normalized_key_cache
  0.08    24.93      0.02       67     0.30   283.13  ActiveRecord::Validations.valid?
  0.08    24.95      0.02      251     0.08     0.08  Arel::SelectManager#where
  0.08    24.97      0.02      339     0.06     0.06  Kernel.freeze
  0.08    24.99      0.02      429     0.05     0.05  SQLite3::Statement#step
  0.08    25.01      0.02      211     0.09     1.42  SQLite3::Statement#columns
  0.08    25.03      0.02      529     0.04     0.04  Set#add
  0.08    25.05      0.02       86     0.23     0.23  ActiveRecord::Base#_run_find_callbacks
  0.08    25.07      0.02      129     0.16     0.23  Time#-
  0.08    25.09      0.02      880     0.02     0.02  Hash#initialize_copy
  0.08    25.11      0.02      673     0.03     0.31  User#friendly_id_config
  0.08    25.13      0.02      697     0.03     0.03  Array#-
  0.08    25.15      0.02      194     0.10     0.10  ActiveSupport::LogSubscriber#color
  0.08    25.17      0.02       89     0.22     1.35  ActiveRecord::ConnectionAdapters::Column#initialize
  0.08    25.19      0.02       68     0.29     1.18  ActiveRecord::Associations.association_instance_set
  0.08    25.21      0.02      164     0.12     1.04  String#%
  0.04    25.22      0.01      687     0.01     0.01  Array#size
  0.04    25.23      0.01      124     0.08     0.16  Array#reject!
  0.04    25.24      0.01      167     0.06     0.60  I18n.normalize_key
  0.04    25.25      0.01       64     0.16     8.59  ActiveSupport::Callbacks::ClassMethods.__define_runner
  0.04    25.26      0.01      992     0.01     0.01  Module#name
  0.04    25.27      0.01      142     0.07     0.85  ActiveRecord::QueryMethods.build_where
  0.04    25.28      0.01       83     0.12     1.93  ActiveRecord::Base#quote_value
  0.04    25.29      0.01      129     0.08     0.08  Array#&
  0.04    25.30      0.01      129     0.08     0.08  Time#minus_without_coercion
  0.04    25.31      0.01       15     0.67    14.00  ActiveRecord::QueryMethods.build_joins
  0.04    25.32      0.01        6     1.67    18.33  ActiveRecord::Associations::ClassMethods.belongs_to
  0.04    25.33      0.01       36     0.28     0.28  ActiveRecord::ConnectionAdapters::Column#type_cast_code
  0.04    25.34      0.01       67     0.15     0.30  FriendlyId::Configuration#reserved?
  0.04    25.35      0.01     1307     0.01     0.01  Module#==
  0.04    25.36      0.01      128     0.08    26.48  ActiveRecord::ConnectionAdapters::QueryCache.select_all
  0.04    25.37      0.01       39     0.26     6.67  I18n::Backend::Simple::Implementation.lookup
  0.04    25.38      0.01      369     0.03     0.03  NilClass#blank?
  0.04    25.39      0.01       15     0.67     2.67  ActiveRecord::SpawnMethods.merge
  0.04    25.40      0.01      137     0.07     7.15  ActiveRecord::AttributeMethods::ClassMethods.define_attribute_methods
  0.04    25.41      0.01     1824     0.01     0.01  Fixnum#==
  0.04    25.42      0.01       67     0.15     0.15  User#_callback_before_183_object
  0.04    25.43      0.01        6     1.67    73.33  ActiveModel::Errors#generate_message
  0.04    25.44      0.01       67     0.15     2.54  User#_callback_before_259
  0.04    25.45      0.01       19     0.53   244.21  ActiveSupport::Dependencies::ModuleConstMissing.const_missing
  0.04    25.46      0.01       15     0.67     0.67  ActiveRecord::Associations::ClassMethods::JoinDependency#graft
  0.04    25.47      0.01      109     0.09    60.00  ActiveRecord::Base#count
  0.04    25.48      0.01      290     0.03     0.28  Object#presence
  0.04    25.49      0.01       31     0.32     0.65  ActiveSupport::Inflector.underscore
  0.04    25.50      0.01       89     0.11     0.11  ActiveRecord::ConnectionAdapters::Column#extract_limit
  0.04    25.51      0.01      960     0.01     0.01  Module#method_added
  0.04    25.52      0.01        3     3.33     3.33  User#_after_password_set_callbacks
  0.04    25.53      0.01       39     0.26    17.69  I18n::Backend::Base.translate
  0.04    25.54      0.01      428     0.02     0.02  ActiveRecord::DynamicScopeMatch#match
  0.04    25.55      0.01       37     0.27     0.27  ActiveRecord::Base#_save_callbacks
  0.04    25.56      0.01       26     0.38   173.46  ActiveSupport::Dependencies.new_constants_in
  0.04    25.57      0.01      485     0.02     0.02  String#to_sym
  0.04    25.58      0.01        6     1.67    85.00  ActiveRecord::Associations::ClassMethods.has_many
  0.04    25.59      0.01      268     0.04     0.19  ActiveRecord::ConnectionAdapters::Column#new_time
  0.04    25.60      0.01       46     0.22     0.22  IO#read
  0.04    25.61      0.01       89     0.11     0.11  ActiveRecord::ConnectionAdapters::Column#extract_default
  0.04    25.62      0.01      194     0.05     5.31  Module#class_eval
  0.04    25.63      0.01        4     2.50     2.50  Module#attr_reader
  0.04    25.64      0.01      201     0.05    39.00  AuthlogicRpx::ActsAsAuthentic::Methods.using_rpx?
  0.04    25.65      0.01       44     0.23     0.23  ActiveSupport::Dependencies.log
  0.04    25.66      0.01       57     0.18     0.35  Class#write_inheritable_attribute
  0.04    25.67      0.01       60     0.17     1.67  ActiveSupport::Callbacks::Callback#normalize_options!
  0.04    25.68      0.01      253     0.04     0.87  ActiveRecord::Base#connection_pool
  0.04    25.69      0.01      113     0.09     1.77  ActiveRecord::Relation#initialize
  0.04    25.70      0.01       60     0.17    18.50  ActiveSupport::Callbacks::ClassMethods.__update_callbacks
  0.04    25.71      0.01      173     0.06     0.12  ActiveRecord::Base#default_scoping
  0.04    25.72      0.01       67     0.15     0.15  ActiveSupport::OrderedHash#initialize
  0.04    25.73      0.01        1    10.00    10.00  Class#class_inheritable_accessor
  0.04    25.74      0.01       52     0.19    15.58  Module#local_constants
  0.04    25.75      0.01      265     0.04     0.04  Arel::Visitors::ToSql#visit_Arel_Nodes_SqlLiteral
  0.04    25.76      0.01      138     0.07     0.07  ActiveRecord::Persistence.new_record?
  0.04    25.77      0.01      161     0.06     0.12  ActiveRecord::Base#class_of_active_record_descendant
  0.04    25.78      0.01      726     0.01     0.01  String#gsub!
  0.04    25.79      0.01       85     0.12     0.12  Array#extract_options!
  0.04    25.80      0.01      134     0.07    49.25  ActiveRecord::AttributeMethods.attribute_method?
  0.04    25.81      0.01       68     0.15     0.29  ActiveRecord::Reflection::AssociationReflection#check_validity_of_inverse!
  0.04    25.82      0.01       36     0.28     0.56  ActiveRecord::AttributeMethods::Read::ClassMethods.cache_attribute?
  0.04    25.83      0.01      322     0.03     0.03  Integer#to_i
  0.04    25.84      0.01       60     0.17     1.33  Array#delete_if
  0.04    25.85      0.01      440     0.02     0.02  ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#method_missing_target
  0.04    25.86      0.01       12     0.83     5.00  ActiveRecord::Reflection::AssociationReflection#validate?
  0.04    25.87      0.01       67     0.15   178.06  ActiveModel::Validations.valid?
  0.04    25.88      0.01       67     0.15     0.30  #<Module:0xb631359c>.email_changed?
  0.04    25.89      0.01      428     0.02     0.54  ActiveRecord::Base#respond_to?
  0.04    25.90      0.01      178     0.06     0.45  ActiveModel::AttributeMethods::ClassMethods.attribute_method_matchers
  0.04    25.91      0.01      725     0.01     0.01  Array#[]
  0.04    25.92      0.01      221     0.05     2.35  Arel::Table#where
  0.04    25.93      0.01      611     0.02     0.02  Regexp#escape
  0.04    25.94      0.01      138     0.07     0.07  Authlogic::ActsAsAuthentic::Password::Methods::InstanceMethods.password_changed?
  0.04    25.95      0.01       17     0.59     0.59  Kernel.require
  0.04    25.96      0.01        9     1.11   376.67  ActiveSupport::Dependencies.require_or_load
  0.04    25.97      0.01      268     0.04     0.30  FriendlyId::ActiveRecordAdapter::SimpleModel.friendly_id
  0.04    25.98      0.01      129     0.08     6.28  ActiveSupport::LogSubscriber#debug
  0.04    25.99      0.01      124     0.08     2.90  Arel::SelectManager#joins
  0.04    26.00      0.01      779     0.01     0.01  Fixnum#+
  0.04    26.01      0.01       18     0.56     0.56  ActiveModel::EachValidator#initialize
  0.04    26.02      0.01       86     0.12     0.12  ActiveRecord::Base#_run_initialize_callbacks
  0.04    26.03      0.01      201     0.05     0.45  ActiveModel::Validations::PresenceValidator#validate
  0.04    26.04      0.01       15     0.67    58.67  ActiveRecord::Base#exists?
  0.04    26.05      0.01      218     0.05     0.18  ActiveRecord::Base#scoped_methods
  0.04    26.06      0.01      109     0.09    20.55  ActiveRecord::ConnectionAdapters::DatabaseStatements.select_one
  0.04    26.07      0.01       67     0.15     5.97  AuthlogicRpx::ActsAsAuthentic::Methods.adding_rpx_identifier
  0.04    26.08      0.01      234     0.04     1.88  Proc#call
  0.04    26.09      0.01       15     0.67     0.67  ActiveRecord::Base#unscoped
  0.04    26.10      0.01       15     0.67     1.33  Arel::SelectManager#join
  0.04    26.11      0.01      124     0.08     0.08  Hash#delete_if
  0.04    26.12      0.01       67     0.15     0.30  #<Module:0xb631359c>.linkedin_profile
  0.04    26.13      0.01       68     0.15     0.15  ActiveRecord::Reflection::AssociationReflection#has_inverse?
  0.04    26.14      0.01      144     0.07     0.07  String#interpolate_without_ruby_19_syntax
  0.04    26.15      0.01      393     0.03     0.03  ActiveModel::AttributeMethods::ClassMethods.generated_attribute_methods
  0.04    26.16      0.01      124     0.08     0.81  ActiveRecord::QueryMethods.includes
  0.04    26.17      0.01      268     0.04     0.04  Float#to_i
  0.04    26.18      0.01       30     0.33     0.33  ActiveModel::Errors#[]
  0.04    26.19      0.01      159     0.06     0.06  Arel::Visitors::ToSql#quote_table_name
  0.04    26.20      0.01      138     0.07     6.16  Authlogic::ActsAsAuthentic::Password::Methods::InstanceMethods.require_password?
  0.04    26.21      0.01      171     0.06     0.06  String#upcase
  0.04    26.22      0.01      268     0.04     0.04  ActiveModel::Dirty.attribute_changed?
  0.04    26.23      0.01      138     0.07     4.86  Authlogic::ActsAsAuthentic::Password::Methods::InstanceMethods.crypted_password_field
  0.04    26.24      0.01      258     0.04     0.04  Time#now
  0.04    26.25      0.01      109     0.09     2.11  ActiveRecord::Calculations.column_for
  0.04    26.26      0.01       67     0.15     1.19  User#validate_associated_records_for_rpx_identifiers
  0.04    26.27      0.01      134     0.07     0.07  ActiveRecord::Base#attribute_names
  0.04    26.28      0.01       67     0.15     0.15  User#_callback_before_177_object
  0.04    26.29      0.01       83     0.12     6.51  ActiveRecord::Base#quoted_id
  0.04    26.30      0.01      145     0.07     5.31  Enumerable.map
  0.04    26.31      0.01      237     0.04     0.17  Arel::SelectManager#project
  0.04    26.32      0.01      109     0.09     0.09  Arel::Nodes::Function#initialize
  0.04    26.33      0.01       40     0.25     0.25  I18n::Backend::Base.interpolate_lambda?
  0.00    26.33      0.00        1     0.00 19750.00  ActiveRecord::Relation#method_missing
  0.00    26.33      0.00       67     0.00   170.60  ActiveModel::Validations.run_validations!
  0.00    26.33      0.00      137     0.00     6.35  ActiveModel::AttributeMethods::ClassMethods.define_attribute_methods
  0.00    26.33      0.00      567     0.00     0.00  Module#const_defined?
  0.00    26.33      0.00      113     0.00     0.00  ActiveRecord::Reflection::AssociationReflection#primary_key_name
  0.00    26.33      0.00       30     0.00     1.67  ActiveRecord::QueryMethods.joins
  0.00    26.33      0.00       70     0.00     0.00  URI::Generic#set_path
  0.00    26.33      0.00        6     0.00     1.67  Authlogic::ActsAsAuthentic::Password::Config.validates_length_of_password_field_options
  0.00    26.33      0.00       70     0.00     0.00  Module#remove_possible_method
  0.00    26.33      0.00       67     0.00     0.00  User#_callback_before_221_object
  0.00    26.33      0.00      124     0.00     0.16  Arel::Visitors::JoinSql#visit_Arel_Nodes_SelectCore
  0.00    26.33      0.00       30     0.00     0.67  ActiveRecord::QueryMethods.select
  0.00    26.33      0.00        1     0.00     0.00  FriendlyId::Configuration#reserved_words=
  0.00    26.33      0.00        2     0.00     0.00  TrueClass#^
  0.00    26.33      0.00        3     0.00   130.00  ActiveModel::Validations::ClassMethods.validates
  0.00    26.33      0.00        8     0.00     0.00  ActiveRecord::Base#arel_engine
  0.00    26.33      0.00      134     0.00     2.16  String#constantize
  0.00    26.33      0.00        1     0.00   450.00  ActiveRecord::FinderMethods.find_one
